join,envelope,full_title,short_title,subject,call_num,scan_num,url
21726,"W1391155,W1383848,S0094036,S0100253","Océan Pacifique, Iles Marquises, Iles Hiva-Oa, Tahuata et Motane / plan levé en Janvier 1882 ... Dépôt des cartes et plans de la marine, 1884","Marquesas Islands, Hiva Oa, Tahuata, and Mohotani, 1929",Nautical charts -- French Polynesia -- Hiva Oa;  Nautical charts -- French Polynesia -- Tahuata,French Chart 3997 1929,agsmap026556,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21726
21727,"W1021900,W0982000,N0182200,N0154200","Amérique septentrionale, côtes ouest du Mexique, de Petacalo à Maldonado / d'après les travaux américains de 1878 à 1959, Service hydrographique de la marine ... 1885","Mexico, Pacific coast, 1961",Nautical charts -- Mexico -- Pacific Coast,French Chart 4112 1961,agsmap026560,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21727
21732,"W1162900,W1093800,N0294800,N0260000","Côte ouest d'Amérique, partie centrale de la Basse Californie et du Golfe de Californie / d'après les dernièrs levés des Etats-Unis, Dépôt des cartes et plans de la marine, 1879","Mexico, Baja California, central coast and Gulf of California, 1930","Nautical charts -- Mexico -- California, Gulf of; Coasts -- Mexico -- Baja California (Peninsula) -- Maps",French Chart 3717 1930,agsmap026569,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21732
21734,"W1132900,W1065000,N0270100,N0225500","Côte ouest d'Amérique, partie sud de la Basse Californie et du Golfe de Californie / d'après les derniers levés des Etats-Unis, Dépôt des cartes et plans de la marine , 1879","Mexico, Baja California, south coast and Gulf of California, 1920","Nautical charts -- Mexico -- California, Gulf of;  Coasts -- Mexico -- Baja California (Peninsula) -- Maps",French Chart 3736 1920,agsmap026572,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21734
21735,"W1112900,W1045600,N0240700,N0200800","Côte ouest d'Amérique, entrée du Golfe de Californie, et partie de la côte du Mexique, comprise entre le Cap Corrientes et Mazatlan / d'après les dernier levés des Etats-Unis, Dépôt des cartes et plans de la marine, 1879","Mexico, Gulf of California and coast, 1920","Nautical charts -- Mexico -- California, Gulf of;  Nautical charts -- Mexico -- Pacific Coast",French Chart 3719 1920,agsmap026570,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21735
21736,"W1393841,W1392714,S0085100,S0085847","Océan Pacifique, Iles Marquises, Ile Ua-Huka / plan levé en Avril 1882 ... Dépôt des cartes et plans de la marine, 1883","French Polynesia, Ua Huka, 1883",Nautical charts -- French Polynesia -- Ua Huka,French Chart 3930 1883,agsmap026574,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21736
21737,"W1400903,W1400001,S0091757,S0093001","Océan Pacifique, Iles Marquises, Ile Ua-Pu / plan levé en Fevrier 1882 ... Dépôt des cartes et plans de la marine, 1883","French Polynesia, Ua Pou, 1894",Nautical charts -- French Polynesia -- Ua Pou,French Chart 3935 1894,agsmap026576,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21737
21738,"W1183500,W1120600,N0324200,N0284900","Côte ouest d'Amérique, partie nord de la Basse Californie et du Golfe de Californie / d'après les derniers levés des Etats-Unis, Dépôt des cartes et plans de la marine, 1879","Mexico, Baja California, north coast and Gulf of California, 1920","Nautical charts -- Mexico -- California, Gulf of;  Coasts -- Mexico -- Baja California (Peninsula) -- Maps",French Chart 3720 1920,agsmap026571,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21738
21739,"W1401757,W1395652,S0084500,S0085937","Océan Pacifique Sud, Archipel des Marquises, Ile Nuku-Hiva / croquis levé en 1881 ... Dépôt des cartes et plans de la marine, 1883","French Polynesia, Nuku Hiva, 1909",Nautical charts -- French Polynesia -- Nuka Hiva,French Chart 3931 1909,agsmap026575,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21739
21742,"W1390601,W1384220,S0214344,S0215556","Océan Pacifique, Archipel Tuamotu, Ile Mururoa / Croquis levé en 1881 ; Dépôt des cartes et plans de la marine ... 1882","Tuamotu Islands, Mururoa Atoll, 1927",Nautical charts -- French Polynesia -- Mururoa Atoll,French Chart 3912 1927,agsmap026573,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21742
21749,"E0324900,E0334100,N0692100,N0685300","Mer de Barents, Côte nord de Russie, Baie de Kola / d'après les cartes russes de 1909-1932 ; service hydrographique de la marine 1916","Russia, Kola Bay, 1947",Nautical charts -- Russia (Federation) -- Kola Peninsula;  Murmansk Region (Russia) -- Maps,French Chart 5548 1947,agsmap026585 (s1-s2),http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21749
21750,"W0000024,E0001122,N0493051,N0492534","Còte nord de France, Port du Havre et ses abords / d'après le levé exécuté en 1913 par M.D. Cot, Ingénieur Hydrographe Principal et M.I. Pélissier, Ingénieur Hydrographe de le Classe ; service hydrographique de la marine 1918 ; gravé: le trait par Moret la lettre par E. Dumas Vorzet et E. Biscay, la topographie par G. Gorvel","France, Port of Le Havre, 1954",Nautical charts -- France -- Le Havre;  Le Havre (France) -- Maps,French Chart 5529 1954,agsmap026584,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21750
21752,"E0820000,E0861400,N0715400,N0685000","Ocean Glacial Arctique, Iénisséï / d'après les levés du Général Vilkidski et les observations de M. Hulin ; service hydrographique de la marine 1920","Russia, Yenisey River, 1920",Nautical charts -- Russia (Federation) -- Yenisey River,French Chart 5581 1920,agsmap026587,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21752
21754,"E0493700,E0522500,S0451500,S0465500","Mers Australes Iles Crozet / d'après les travaux francais effectues de 1838 à 1962 ; service hydrographique de la marine ; gravé: le trait et la topographie par R. Delauné, la lettre par G. Leclère","Crozet Islands, 1964",Nautical charts -- Crozet Islands;  Nautical charts -- Islands of the Indian Ocean,French Chart 5523 1964,agsmap026583,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21754
21755,"W0760100,W0543700,S0470100,S0640800","Océan Glacial Antarctique, mers du cap Horn 1916 / gravé: le trait par E. Moret, la lettre par P. Ritter","South America, Cape Horn coast, 1920",Nautical charts -- Tierra del Fuego (Argentina and Chile);  Nautical charts -- Falkland Islands;  Nautical charts -- Antarctica -- Antarctic Peninsula;  Nautical charts -- Antarctica -- South Shetland Islands;  Tierra del Fuego (Argentina and Chile) -- Maps,French Chart 5504 1920,agsmap026580,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21755
21758,"W0760100,W0543700,S0470100,S0640800","Océan Glacial Antarctique, mers du cap Horn 1916 / gravé: le trait par E. Moret, la lettre par P. Ritter","South America, Cape Horn coast, 1930",Nautical charts -- Tierra del Fuego (Argentina and Chile);  Nautical charts -- Falkland Islands;  Nautical charts -- Antarctica -- Antarctic Peninsula;  Nautical charts -- Antarctica -- South Shetland Islands;  Tierra del Fuego (Argentina and Chile) -- Maps,French Chart 5504 1930,agsmap026581,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21758
21770,"W0842300,W0770700,N0094100,N0050100","Amérique central (côte ouest) du Cap Corrientes à la Pointe Llorena, Golfe de Panama / service hydrographique de la marine 1910","Central America, Pacific coast and Gulf of Panama, 1918","Nautical charts -- Panama -- Panama, Gulf of;  Panama -- Maps;  Costa Rica -- Maps;  Central America -- Maps",French Chart 5391 1918,agsmap026591,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21770
21771,"W0880500,W0832500,N0132900,N0064300",Amérique central (côte ouest) de la Pointe Llorena au Golfe de Fonseca / service hydrographique de la marine 1910,"Central America, Pacific coast and Gulf of Fonseca, 1921","Nautical charts -- Fonseca, Gulf of;  Costa Rica -- Maps;  Nicaragua -- Maps;  Central America -- Maps",French Chart 5387 1921,agsmap026590,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21771
21772,"E1030400,W1204100,N0663400,S0030100","Océan Pacifique, partie nord / service hydrographique de la marine 1910","Pacific Ocean, north, 1942",Nautical charts -- Pacific Ocean,French Chart 5366 1942,agsmap026589,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21772
21936,"W0172620,W0172446,N0144136,N0143951","Côte Ouest d'Afrique, Sénégal, Port de Dakar / plan levé en Novembre 1909 sous la direction de ... M. Lebail ; service hydrographique de la marine","Africa, Senegal, Port of Dakar, 1955",Nautical charts -- Senegal -- Dakar;  Dakar (Senegal) -- Maps,French Chart 5451 1955,agsmap026600,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21936
21938,"W0595600,E0511900,N0765100,N0355700",Océan Atlantique Arctique / service hydrographique de la marine 1912,"Arctic Ocean and northern Atlantic Ocean, 1914",Nautical charts -- North Atlantic Ocean;  Nautical charts -- Arctic Ocean,French Chart 5417 1914,agsmap026593,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21938
21941,"W0172620,W0172446,N0144136,N0143951","Côte Ouest d'Afrique, Sénégal, Port de Dakar / plan levé en Novembre 1909 sous la direction de ... M. Lebail ; service hydrographique de la marine","Africa, Senegal, Port of Dakar, 1933",Nautical charts -- Senegal -- Dakar;  Dakar (Senegal) -- Maps,French Chart 5451 1933,agsmap026599,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21941
21943,"W0135331,W0134039,N0093311,N0092453","Côte Ouest d'Afrique, Abords de Conakry, Iles de Los, plan léve en 1907 / service hydrographique de la marine 1912","Africa, west coast and Los Islands, 1933",Nautical charts -- Guinea -- Los Islands;  Conakry (Guinea) -- Maps,French Chart 5412 1933,agsmap026592,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21943
21945,"W0024525,W0023603,N0473217,N0472828","Côte ouest de France, port de Penerf et anse de Succinio / plan levé en 1907-1908 ... Service hydrographique de la marine, 1911","France, west coast with Port of Penerf and Bay of Suscinio, 1915",Nautical charts -- France -- Morbihan;  Coasts -- France -- Morbihan -- Maps,French Chart 5418 1915,agsmap026594,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21945
21946,"W0031020,W0023603,N0473850,N0472318","Côte ouest de France, de Quiberon à Penerf, baie de Quiberon et Morbihan / carte levée de 1906 à 1908 ... Service hydrographique de la marine, 1914","France, west coast with Quiberon Bay, 1918",Nautical charts -- France -- Morbihan Gulf;  Nautical charts -- France -- Quiberon Bay;  Coasts -- France -- Morbihan -- Maps,French Chart 5420 1918,agsmap026595,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21946
21953,"E1182200,W1494100,N0453900,S0650300","Océan Pacifique, partie ouest / service hydrographique de la marine 1909","Pacific Ocean, western part, 1946",Nautical charts -- Pacific Ocean,French Chart 5356 1946,agsmap026618,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21953
21954,"W0980900,E0134900,N0562800,S0083300",Océan Atlantique Nord / service hydrographique de la marine 1907,"Atlantic Ocean, northern part, 1919",Nautical charts -- North Atlantic Ocean;  Nautical charts -- Arctic Ocean,French Chart 5279 1919,agsmap026611,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21954
21955,"W0060100,E0203300,N0444300,N0300000",Mer Méditerranée partie ouest / service hydrographique de la marine,"Mediterranean Sea, western part, 1921",Nautical charts -- Mediterranean Sea,French Chart 5321 1921,agsmap026615,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21955
21956,"W0040819,W0035252,N0474331,N0473717","Côte ouest de France, Iles de Glénan, partie sud / plan levé en 1903 ... Service hydrographique de la marine, 1907","France, west coast and southern Glénan Islands, 1910",Nautical charts -- France -- Glénan Islands,French Chart 5304 1910,agsmap026614,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21956
21957,"E0094743,E0095412,N0371652,N0371322","Tunisie, Port de Bizerte et Goulet du Lac / service hydrographique de la marine","Tunisia, Bizerte, 1955",Nautical charts -- Tunisia -- Bizerte;  Bizerte (Tunisia) -- Maps;  Goulet du Lac (Tunesia) -- Navigation -- Maps,French Chart 5281 1955,agsmap026613,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21957
21959,"E0094500,E0371500,N0444300,N0300000",Mer Méditerranée partie est / service hydrographique de la marine,"Mediterranean Sea, eastern part, 1921",Nautical charts -- Mediterranean Sea,French Chart 5322 1921,agsmap026616,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21959
21960,"W1584200,W0654200,N0453900,S0650300","Océan Pacifique, partie est / service hydrographique de la marine 1909","Pacific Ocean, eastern part, 1942",Nautical charts -- Pacific Ocean,French Chart 5361 1942,agsmap026619,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21960
21961,"W1350259,W1345422,S0230358,S0230909","Océan Pacifique sud, archipel Tubuaï, Ile Raevavae, (Vavitu) / service hydrographique de la marine 1904","French Polynesia, Tubuai Islands, Raivavae Island, 1925",Nautical charts -- South Pacific Ocean;  Raivavae Island (French Polynesia) -- Maps,French Chart 5246 1925,agsmap026608,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21961
21961,"W1474202,W1473708,S0235106,S0235316","Océan Pacifique sud, archipel Tubuaï, Ile Raevavae, (Vavitu) / service hydrographique de la marine 1904","French Polynesia, Tubuai Islands, Raivavae Island, 1925",Nautical charts -- South Pacific Ocean;  Raivavae Island (French Polynesia) -- Maps,French Chart 5246 1925,agsmap026608,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21961
21963,"W0820900,E0321600,N0083500,S0570100",Océan Atlantique sud / service hydrographique de la marine 1907,"Atlantic Ocean, southern part, 1917",Nautical charts -- South Atlantic Ocean,French Chart 5280 1917,agsmap026612,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21963
21964,"W0030906,W0025758,N0473601,N0472521","Côte ouest de France, Baie de Quiberon / plan levé en 1906 ; Service hydrographique de la marine, 1910","France, west coast, Quiberon Bay, 1910",Nautical charts -- France -- Quiberon Bay;  Nautical charts -- France -- Quiberon;  Coasts -- France -- Quiberon Peninsula -- Maps,French Chart 5352 1910,agsmap026617,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21964
21990,"E0080500,E0162200,N0443000,N0345200","Bassin ouest de la Méditerranée, troisième feuille, du méridein de La Calle, au méridien de Messine, côtes d'Italie et de Tunisie, Corse, Sardaigne et Sicile / Service hydrographique de la marine 1900","Mediterranean Sea, coasts of Italy, Tunisia, Corsica, Sardinia, and Sicily, 1907",Nautical charts -- Italy -- Sicily; Nautical charts -- Italy -- Sardinia; Nautical charts -- France -- Corsica; Nautical charts -- Italy; Nautical charts -- Tunisia,French Chart 5017 1907,agsmap026622,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21990
21992,"W0002249,E0011009,N0495800,N0491659","Còte nord de France, de Ouistreham à Dieppe-Cours de la Seine du Havre à Rouen / service hydrographique de la marine 1904","France, north coast, Le Havre and Rouen, 1952","Nautical charts -- France, Northern;  France, Northern -- Maps;  Le Havre (France) -- Maps;  Dieppe (France) -- Maps;  Ouistreham (France) -- Maps;  Rouen (France) -- Maps",French Chart 5206 (G) 1952,agsmap026625,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21992
21993,"E0051743,E0052232,N0432201,N0431650","Mer Méditerranée, côte de France, ports de Marseille / carte levée en 1898 ... Service hydrographique de la marine ... 1907","France, Mediterranean coast, Marseilles, 1955",Nautical charts -- France -- Marseille,French Chart 5193 1955,agsmap026624,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21993
21995,"W0683550,W0680720,S0495847,S0501354","Océan Atlantique, République Argentine-Patagonie, entrée de la Rivière de Santa Cruz / service hydrographique de la marine 1903","Argentina, Atlantic coast and Santa Cruz River, 1920",Nautical charts -- Argentina;  Santa Cruz River (Argentina) -- Maps;  Puerto Santa Cruz (Argentina) -- Maps,French Chart 5224 1920,agsmap026626,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21995
21996,"E0103200,E0123400,N0800100,N0793100","Océan Glacial Arctique, côte nord-ouest du Spitzberg, de la baie de la Madeleine à la baie Rouge / service hydrographique de la marine 1904","Arctic Ocean, Spitsbergen northwest coast, 1928","Nautical charts -- Norway, Northern;  Nautical charts -- Norway -- Svalbard",French Chart 5239 1928,agsmap026631,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21996
21997,"E0030613,E0030751,N0423243,N0423030","Mer Méditerranée, côte de France, Port-Vendres / carte levée en 1898 ... Service hydrographique de la marine ... 1901","France, Mediterranean coast, Port-Vendres, 1954",Nautical charts -- France -- Port-Vendres,French Chart 5130 (G) 1954,agsmap026623,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21997
21999,"W1493257,W1492306,S0231934,S0232458","Océan Pacifique Sud, Archipel Tubuaï, Ile Tubuaï / plan levé en 1894 ... Service hydrographique de la marine, 1896","French Polynesia, Tubuai Islands, Tubuai, 1929",Nautical charts -- French Polynesia -- Tubuai,French Chart 4952 1929,agsmap026620,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/21999
22007,"W0890447,W0874124,N0163051,N0153630","Mer des Antilles, Golfe de Honduras, et Cays Zapotillos / Service hydrographique de la marine, 1893","Caribbean Sea, Gulf of Honduras, 1915","Nautical charts -- Honduras, Gulf of",French Chart 4628 1915,agsmap026632,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22007
22008,"E0970000,E1320000,N0365800,S0085100","Mers de Chine, Grand Archipel d'Asie / Service hydrographique de la marine ... 1897","China Seas, archipelagos of Asia, 1939",Nautical charts -- Southeast Asia;  Nautical charts -- Indonesia;  Nautical charts -- Philippines;  Coasts -- China -- Maps,French Chart 4946 1939,agsmap026638,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22008
22009,"W0781808,W0780146,N0083539,N0081548","Amérique du sud, côte ouest, Baie San Miguel, embouchure du Fleuve Darien / levée en 1888-89 ... Service hydrographique de la marine, 1893","South America, west coast, San Miguel Bay, 1924",Nautical charts -- Panama;  Golfo de San Miguel (Panama) -- Maps;  Darien (Panama : Province) -- Maps,French Chart 4732 1924,agsmap026634,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22009
22010,"E0072100,E0072527,N0370511,N0370244","Côte ouest de France, embouchure de la Loire, abords de Saint Nazaire / plan levé en 1893 ... Service hydrographique de la marine, 1896","France, west coast and mouth of the Loire, 1919",Nautical charts -- France -- Saint-Nazaire;  Harbors -- France -- Saint-Nazaire -- Maps;  Saint-Nazaire (France) -- Maps,French Chart 4882 1919,agsmap026637,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22010
22011,"E0490802,E0492803,S0120752,S0122204","Côte N.E. de Madagascar, Baie de Diégo-Suarez / carte levée en 1890 ... Service hydrographique de la marine ... 1894","Madagascar, Antsiranana Bay, 1955",Nautical charts -- Madagascar -- Antsiranana Bay;  Coats -- Madagascar -- Antsiran̈ana -- Maps,French Chart 4696 (G.) 1955,agsmap026633,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22011
22094,"E1081740,E1083230,N0160000,N0155040","Annam - mouillages aux abords de Tourane, Culao Cham et entrée de la rivière de Faï Fo / levés en 1922 ... ; Service hydrographique de la marine, 1927","Vietnam, Hoi An, 1928",Nautical charts -- Vietnam -- Hội An,French Chart 5661 1928,agsmap026645,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22094
22100,"W0624000,W0500000,N0713000,N0635000","Océan Atlantique Nord, détroit de Davis, côte ouest du Groenland, de Godthaab à Umanak / d'après les cartes danoises les plus récentes ; Service hydrographique de la marine, 1927","Greenland, west coast and Davis Strait, 1931",Nautical charts -- Davis Strait;  Nautical charts -- Baffin Bay (North Atlantic Ocean);  Nautical charts -- Greenland -- Disko Bay,French Chart 5664 1931,agsmap026647,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22100
22104,"E1090705,E1092845,N0125500,N0122330","Mer de Chine, côte d'Annam, abords de Port Dayot, de Mui Ban Than (Cap Vert) à Mui Nay (Cap Varella) / carte levée en 1923 ... Service hydrographique de la marine, 1928","China Sea, Vietnam coast and Vịnh Văn Phong, 1928","Nautical charts -- Gôi, Bến",French Chart 5655 1928,agsmap026640,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22104
22120,"W0574000,W0420000,N0643000,N0592000","Océan Atlantique nord, côte ouest du Groenland, du Cap Farvel à Godthaab / d'après les cartes danoises les plus récentes, Service hydrographique de la marine, 1927","Greenland, west coast, 1930","Nautical charts -- Greenland -- Farewell, Cape;  Nautical charts -- Greenland -- Nuuk",French Chart 5663 1930,agsmap026646,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22120
22166,"E1070820,E1072230,N0210210,N0205300","Mer de Chine, Golfe du Tonkin, Grande Baie des Faï Tsi Long / carte levée en 1922-25 ... Service hydrographique de la marine, 1928","China Sea, Gulf of Tonkin, Cam-pha, 1929","Nautical charts -- Château Renaud, Chenal du;  Nautical charts -- Saône, Chenal de la;  Coasts -- Vietnam -- Cẩm Phả Port",French Chart 5652 1929,agsmap026663,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22166
22167,"E1072024,E1072300,N0210238,N0205855","Indochine, Golfe du Tonkin, Port de Cam Pha / carte levée en 1922-1923 ... Service hydrographique de la marine, 1926","Indochina, Gulf of Tonkin, Cam-pha, 1928",Nautical charts -- Vietnam -- Cẩm Phả Port,French Chart 5651 1928,agsmap026662,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22167
22170,"E1063830,E1064810,N0210215,N0204915","Indochine, Abords de Haïphong, Quang-Yen et Port Redon / levés en 1923 et 1924 ... Service hydrographique de la marine, 1925","Indochina, Hai Phong, Quang Yen, and Port Redon, 1930",Nautical charts -- Vietnam -- Haiphong;  Rivers -- Vietnam -- Maps,French Chart 5639 1930,agsmap026669,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22170
22171,"E1063643,E1064224,N0205400,N0205030","Indochine, Port de Haïphong / plan levé en 1923 ; Service hydrographique de la marine, 1925","Indochina, Port of Hai Phong, 1928",Nautical charts -- Vietnam -- Haiphong,French Chart 5634 1928,agsmap026668,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22171
22172,"W0014205,W0013351,N0494135,N0493749","Côte nord de France, Rade de Cherbourg / carte levée en 1921 ... Service hydrographique de la marine, 1925","France, north coast and Cherbourg, 1930",Nautical charts -- France -- Cherbourg,French Chart 5628 1930,agsmap026666,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22172
22173,"E0030144,E0030617,N0364917,N0364405","Mer Méditerranée, côte d'Algérie, Port d'Alger / d'après le levé éxécuté en 1921 ... Service hydrographique de la marine, 1925","Mediterranean Sea, Algeria, coast and Port of Algiers, 1930",Nautical charts -- Algeria -- Algiers;  Algiers (Algeria) -- Maps,French Chart 5617 1930,agsmap026665,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22173
22174,"E0050340,E0051030,N0364750,N0364000","Mer Méditerranée - côte d'Algérie, Port de Bougie / d'après les levés exécutés en 1922 ... Service hydrographique de la marine, 1928","Mediterranean Sea, Algeria, coast and Port of Bejaia, 1930","Nautical charts -- Algeria -- Bejaïa, Gulf of;  Coasts -- Algeria -- Bejaïa -- Maps",French Chart 5641 1930,agsmap026671,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22174
22175,"E0035234,E0035716,N0365615,N0365350","Mer Méditerranée - côte d'Algérie, Port de Dellys / d'après le levé exécuté en 1921 ... Service hydrographique de la marine, 1928","Mediterranean Sea, Algeria, coast and Port of Delles, 1928",Nautical charts -- Algeria -- Dellys,French Chart 5640 1928,agsmap026670,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22175
22176,"E1060730,E1063340,N0093529,N0091751","Mer de Chine - Cochinchine, Delta du Mékong, embouchure du Bassac (Hau-Giang) / carte levée en 1923 ... Service hydrographique de la marine, 1925","China Sea, Mekong Delta, mouth of the Bassac River, 1925",Nautical charts -- Mekong River Delta (Vietnam and Cambodia),French Chart 5630 1925,agsmap026667,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22176
22181,"W0610700,W0605900,N0143700,N0143144","Mer des Antilles, Ile de la Martinique, Baie de Fort de France / carte levée en 1938-1939 ... Service hydrographique de la marine ... 1940","Caribbean Sea, Martinique, Fort-de-France Bay, 1946",Nautical charts -- Martinique -- Fort-de-France Bay;  Nautical charts -- Martinique -- Fort-de-France;  Harbors -- Martinique -- Fort-de-France -- Maps;  Fort-de-France (Martinique) -- Maps;,French Chart 5916 1946,agsmap026680,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22181
22182,"W0610545,W0610300,N0143625,N0143439","Martinique, Rade de Fort de France / levé exécuté en 1938-39 ... Service hydrographique de la marine ... 1940","Martinique, Fort-de-France Bay, 1946",Nautical charts -- Martinique -- Fort-de-France;  Nautical charts -- Martinique -- Fort-de-France Bay;  Harbors -- Martinique -- Fort-de-France Bay -- Maps;  Fort-de-France Bay (Martinique) -- Maps;,French Chart 5906 1946,agsmap026678,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22182
22183,"E1053100,E1055830,N0103230,N0101400","Cochinchine, Cours du Mekong, Song Tien Giang (fleuve antérieur), de Cu Lao Gien à Vingh Long / Service hydrographique de la marine ... 1942","Vietnam, Mekong River, Cu Lao Gieng to Vinh Long, 1946",Nautical charts -- Vietnam -- Vĩnh Long (Cửu Long);  Rivers -- Vietnam -- Đồng Tháp -- Maps,French Chart 5905 1946,agsmap026677,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22183
22186,"E1055700,E1062400,N0102730,N0100915","Cochinchine, Cours du Mekong, Song Tien Giang (fleuve antérieur), Song My-Tho, Song Co Chien, Song Ham Luong, de Vinh Long à Mytho / Service hydrographique de la marine ... 1942","Vietnam, Mekong River, Vinh Long to My Tho, 1946",Nautical charts -- Vietnam -- Vĩnh Long (Cửu Long);  Nautical charts -- Vietnam -- Mỹ Tho;  Rivers -- Vietnam -- Maps;,French Chart 5904 1946,agsmap026676,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22186
22188,"W0540600,W0534600,N0055500,N0052600","Amérique du Sud, Guyane Française, Fleuve Maronie, de la barre extérieure à St. Laurent / levé exécuté en 1937 ; Service hydrographique de la marine ... 1939","French Guiana, Maronie River, 1944",Nautical charts -- French Guiana -- Saint-Laurent du Maroni,French Chart 5883 1944,agsmap026672,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22188
22189,"E1062000,E1064900,N0102400,N0100610","Mer de Chine, Cochinchine, cours du Mekong, Song My-Tho, Song Cua Tieu, Song Cua Dai, Song Ra Lai / Service hydrographique de la marine ... 1942","China Sea, Mekong River, 1946",Nautical charts -- Mekong River Delta (Vietnam and Cambodia);  Nautical charts -- Vietnam -- Mỹ Tho;  Rivers -- Vietnam -- Maps;,French Chart 5903 1946,agsmap026675,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22189
22190,"W0530415,W0525630,N0053000,N0051840","Amérique du sud, Guyane Française, Riviére de Sinnamary / levé exécuté en 1937 ... ; Service hydrographique de la marine ... 1938","French Guiana, Sinnamary River, 1938",Nautical charts -- French Guiana -- Sinnamary River,French Chart 5884 1938,agsmap026673,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/22190
