Full Title,Short Title,Subject,Primo Record Permalink,Original Item Description,Original Item ID,Digital ID,Digital Format,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Ireland, south coast, Castle Haven and Glandore Harbour / published at the Admiralty July 16th 1852 ; Engraved by J. & C. Walker","Ireland, south coast 1897",Nautical charts;    Bathymetric maps;   Castletownshend (Ireland) -- Maps;  Glandore (Ireland) -- Maps;  Ireland -- Maps,,48 x 63 cm,BA 2092 1897,am022750,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8769,8769,8842.jp2,/agdm/image/8842.jp2
"Asia Minor, Paspargo Islet to Samos Strait, including the Gulf of Skala Nuova / published at the Admiralty 21st Octr. 1905 ; Engraved by James A. Garner",Turkey 1905,"Nautical charts;    Bathymetric maps; SuÌˆnguÌˆkaya AdasÄ± (Turkey) -- Maps; Samos Strait -- Maps; Samos (Greece) -- Maps; Kusadasi, Gulf of (Turkey) -- Maps",,66 x 100 cm,BA 3446 1905,am022647,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8770,8770,8774.jp2,/agdm/image/8774.jp2
"Baltic, Gulf of Finland / published at the Admiralty 10th July 1875 ; Engraved by Edwd. Weller",Gulf of Finland 1898,"Nautical charts;    Bathymetric maps;   Finland, Gulf of -- Maps",,53 x 106 cm,BA 2191 1898,am022759,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8771,8771,8789.jp2,/agdm/image/8789.jp2
"France, west coast, sheet IV, les Sables d'Olonne to Bourgneuf / published at the Admiralty 6th June 1859 ; Engraved by J. & C. Walker","France, west coast 1890","Nautical charts;    Bathymetric maps; Harbors -- Mediterranean Sea -- Maps; Les Sables-d'Olonne (France) -- Maps; Bourgneuf, Bay of (France) -- Maps",,49 x 64 cm,BA 2647 1890,am022667,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8772,8772,8846.jp2,/agdm/image/8846.jp2
"Azores, Corvo and Flores / published at the Admiralty July 18th 1849 ; Engraved by J. & C. Walker",Azores 1873,Nautical charts;    Bathymetric maps; Nautical charts -- Azores -- Maps; Corvo Island (Azores) -- Maps; Flores Island (Azores) -- Maps; Santa Cruz das Flores (Azores) -- Maps,,61 x 47 cm,BA 1946 1873,am022711,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8773,8773,8747.jp2,/agdm/image/8747.jp2
"Mediterranean, plans of the eastern shore of the Adriatic / published at the Admiralty 17th Decr. 1898 ; Engraved by Davies & Company","Croatia, Adriatic coast 1900",Nautical charts;    Bathymetric maps; Nautical charts -- Croatia -- Maps; Rijeka (Croatia); MartinsÌŒcÌica Bay (Croatia) -- Maps,,46 x 66 cm,BA 1996 1900,am022705,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8774,8774,8845.jp2,/agdm/image/8845.jp2
"Ireland, Wexford to Wicklow / published at the Admiralty 1st Octr. 1875 ; Engraved by Davies & Company",Ireland coast 1897,Nautical charts;    Bathymetric maps; Wexford (Ireland) -- Maps; Wicklow (Ireland) -- Maps,,128 x 65 cm,BA 1787 1897,am022633,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8775,8775,8827.jp2,/agdm/image/8827.jp2
"East coast of Ireland, with the Irish Channel / published at the Admiralty 31st March 1886 ; Engraved by Edwd. Weller",Irish Channel 1909,Nautical charts;   Bathymetric maps; Nautical charts -- Ireland -- Maps; North Channel (Northern Ireland and Scotland) -- Maps,,120 x 64 cm,BA 1824A 1909,am022626,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8777,8777,8745.jp2,/agdm/image/8745.jp2
"Mediterranean, coast of Syria, Sheet 2, Markhab [Castle] to Ras En-Nakura / published at the Admiralty 15th Sept. 1863 ; Engraved by J. & C. Walker",Syria 1895,"Nautical charts;    Bathymetric maps;  Harbors -- Mediterranean Sea -- Maps; BaÌ„niyaÌ„s (Damascus, Syria) -- Maps; Tripoli (Lebanon) -- Maps; Beirut (Lebanon) -- Maps; Rosh HaNiqra (Israel) -- Maps",,100 x 64 cm,BA 2633 1895,am022672,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8778,8778,8843.jp2,/agdm/image/8843.jp2
"Baltic, Gulf of Finland, Port Baltic to Hogland / published at the Admiralty April 15th 1854 ; Engraved by J. & C. Walker",Gulf of Finland 1898,"Nautical charts;   Bathymetric maps;  Baltic Sea -- Maps; Finland, Gulf of -- Maps",,64 x 95 cm,BA 2246 1898,am022736,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8779,8779,8700.jp2,/agdm/image/8700.jp2
"Norway, s.w. coast, Lister to Haadyret, including the approaches to Hittero and Flekkefiord / published at the Admiralty 21st Jany. 1899 ; Engraved by Davies & Company","Norway, southwest coast 1909",Nautical charts;    Bathymetric maps,,66 x 99 cm,BA 3011 1909,am022642,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8780,8780,8749.jp2,/agdm/image/8749.jp2
"Atlantic Ocean, Azores, Fayal Id., Horta and Pim Bays, Azores, Fayal Channel / published at the Admiralty July 5th 1849 ; Engraved by J. & C. Walker Sculpt.",Azores 1882,Nautical charts;    Bathymetric maps;  Nautical charts -- Azores -- Maps; Azores -- Maps,,48 x 63 cm,BA 1940 1882,am022712,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8781,8781,8743.jp2,/agdm/image/8743.jp2
"Spain, west coast, Cape Finisterre to Vigo Bay / published at the Admiralty July 17th 1846 ; Engraved by J. & C. Walker Sculpt.","Spain, west coast 1908","Nautical charts;    Bathymetric maps; Finisterre, Cape (Spain) -- Maps; Pontevedra Estuary (Spain) -- Maps; Vigo Estuary (Spain) -- Maps",,61 x 47 cm,BA 1756 1908,am022702,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8782,8782,8758.jp2,/agdm/image/8758.jp2
"France, north coast, Le Havre and entrance to the Seine / published at the Admiralty 22nd March 1898 ; Engraved by Davies & Company","Le Havre, France 1899",Nautical charts;    Bathymetric maps; Le Havre (France) -- Maps,,99 x 66 cm,BA 2990 1899,am022648,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8783,8783,8716.jp2,/agdm/image/8716.jp2
"Mediterranean, France and Spain, south coast, Cape St. Sebastian to Cette / published at the Admiralty 14th June 1894 ; Engraved by Davies & Company","Spain and France, south coast 1909",Nautical charts;    Bathymetric maps; Nautical charts -- France -- Maps; Nautical charts -- Spain -- Maps; Harbors -- Mediterranean Sea -- Maps; SeÌ€te (France) -- Maps; Llafranch (Spain) -- Maps,,125 x 65 cm,BA 1804 1909,am022632,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8784,8784,8786.jp2,/agdm/image/8786.jp2
"Africa north coast, Ben Ghazi / published at the Admiralty 8th Sept. 1862 ; Engraved by J. & C. Walker","Banghazi, Libya 1890",Nautical charts;    Bathymetric maps; Nautical charts -- Libya -- Maps; BanghaÌ„ziÌ„ (Libya) -- Maps,,45 x 41 cm,BA 1978 1890,am022706,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8785,8785,8703.jp2,/agdm/image/8703.jp2
"The Islands of Madeira, Porto Santo and Dezertas / published at the Admiralty 4th Octr. 1847 ; Engraved by J. & C. Walker Sculpt.",Madeira Islands 1880,Nautical charts;   Bathymetric maps; Nautical charts -- Madeira Islands -- Maps; Porto Santo Island (Madeira Islands) -- Maps; Ilhas Desertas (Madeira Islands) -- Maps,,65 x 77 cm,BA 1831 1880,am022654,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8786,8786,8815.jp2,/agdm/image/8815.jp2
"Mediterranean Archipelago, Stampalia Id., ancient AstypalÅ“la / surveyed by Lt. G.R. Wilkinson, J. Stokes, master, R.N., J.C Drew, sub lieutt., & J. Millard, sec. master ; under the direction of Captn. T.A.B. Spratt, R.N., C.B., F.R.S., H.M.S. Medina, 1861 ; engraved by J. & C. Walker","Astypalaia, Greece 1877",Nautical charts;    Bathymetric maps; Nautical charts -- Greece -- Astypalaia (Municipality); Astypalaia (Greece : Municipality) -- Maps,,47 x 61 cm,BA 1888 1877,am022692,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8787,8787,8729.jp2,/agdm/image/8729.jp2
"Azores, Santa Maria and the Formigas / published at the Admiralty July 18th 1849 ; Engraved by J. & C. Walker Sculpt.",Azores 1873,Nautical charts;    Bathymetric maps; Santa Maria Island (Azores) -- Maps; IlheÌus das Formigas (Azores) -- Maps,,61 x 47 cm,BA 1865 1873,am022696,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8788,8788,8835.jp2,/agdm/image/8835.jp2
"Baltic, Gulf of Finland, St. Petersburg Bay / published at the Admiralty 19th Mar. 1855 ; Engraved by J. & C. Walker","St. Petersburg Bay, Russia 1896",Nautical charts;    Bathymetric maps;   Saint Petersburg (Russia) -- Maps,,49 x 63 cm,BA 2279 1896,am022739,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8789,8789,8859.jp2,/agdm/image/8859.jp2
"Mediterranean, eastern part of Candia or Crete, (Kirit Adani Turkish) / published at the Admiralty 17th April 1858 ; Engraved by J. & C. Walker",Greece 1904,Nautical charts;    Bathymetric maps; Harbors -- Mediterranean Sea -- Maps; Crete (Greece) -- Maps,,62 x 98 cm,BA 2536B 1904,am022677,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8791,8791,8699.jp2,/agdm/image/8699.jp2
"Asia Minor, Makri Harbour, the ancient Telmissus / published at the Admiralty Augt. 18th 1848 ; Engraved by J. & C. Walker Sculpt.",Turkey coast 1907,"Nautical charts;    Bathymetric maps; Fethiye LimanÄ± (Turkey) -- Maps; Fethiye (Malatya IÌ‡li, Turkey) -- Maps",,43 x 28 cm,BA 1885 1907,am022717,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8792,8792,8813.jp2,/agdm/image/8813.jp2
"Baltic, entrance to the Gulf of Rica / published at the Admiralty April 15th 1854 ; Engraved by J. & C. Walker Sculpt.",Gulf of Rica 1899,"Nautical charts;    Bathymetric maps;   Riga, Gulf of (Latvia and Estonia) -- Maps;  SoÌƒrve Peninsula (Estonia) -- Maps",,90 x 62 cm,BA 2263 1899,am022734,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8793,8793,8713.jp2,/agdm/image/8713.jp2
"North coast of Scotland, Thurso Bay to the North Minch including parts of Orkney and Lewis, with Sule Skerry, Rona and Sulisker / published at the Admiralty 24th Dec. 1896 ; Engraved by Malby & Sons","Thurso Bay, Scotland 1897",Nautical charts;    Bathymetric maps; Thurso Bay (Scotland) -- Maps; North Minch (Scotland) -- Maps,,65 x 119 cm,BA 1954 1897,am022708,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8794,8794,8853.jp2,/agdm/image/8853.jp2
"Archipelago, the islands of Patmos, (now corrupted into Patino), Arki and Lipso, (the ancient Architis and Lepsia), with the adjacent Isle of Gaidaro / published at the Admiralty May 27th 1844 ; Engraved by J. & C. Walker Sculpt.","Greece, islands 1882",Nautical charts;    Bathymetric maps; Patmos (Greece) -- Maps,,47 x 61 cm,BA 1574 1882,am022764,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8795,8795,8795.jp2,/agdm/image/8795.jp2
"The Bays of Lamo, Patta, & Kwyhoo, on the east coast of Africa / published at the Admiralty 12th Decr. 1827 ; Engraved by J. & C. Walker Sculpt.","Africa, east coast 1827","Nautical charts;    Bathymetric maps;   Africa, East -- Maps;  Manda Island (Kenya) -- Maps;  Pate (Kenya) -- Maps",,46 x 56 cm,BA 669 1827,am022786,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8796,8796,8851.jp2,/agdm/image/8851.jp2
"Ireland, south coast, Kinsale Harbour and Oyster Haven / published at the Admiralty June 16th 1851 ; Engraved by J. & C. Walker Sculpt.","Ireland, south coast 1897",Nautical charts;    Bathymetric maps;   Kinsale (Ireland) -- Maps,,,BA 2053 1897,am022740,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8797,8797,8820.jp2,/agdm/image/8820.jp2
"Mediterranean, plans of bays and ports in Candia or Crete / published at the Admiralty 28th Jany. 1861 ; Engraved by J. & C. Walker",Greece 1906,Nautical charts;    Bathymetric maps; Harbors -- Mediterranean Sea -- Maps; Crete (Greece) -- Maps; SeÌ„teia (Greece) -- Maps; OÌrmos KaloiÌ LimeÌnes (Greece) -- Maps; OÌrmos GkraÌntes (Greece) -- Maps,,3 maps on 1 sheet ; 46 x 62 cm,BA 2724 1906,am022657,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8798,8798,8777.jp2,/agdm/image/8777.jp2
"Scotland, west coast, sheet 2, Firth of Clyde and Loch Fyne / published at the Admiralty Jan 12th 1869 ; Engraved by Davies & Co.","Scotland, west coast 1905","Nautical charts;    Bathymetric maps; Clyde, Firth of (Scotland) -- Maps; Fyne, Loch (Scotland) -- Maps",,115 x 66 cm,BA 2159 1905,am022650,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8799,8799,8770.jp2,/agdm/image/8770.jp2
Index to the Rivers Parana and Uruguay / published at the Admiralty March 20th 1851 ; Engraved by J. & C. Walker,"ParanaÌ River, Brazil and Argentina 1913",Nautical charts;    Bathymetric maps; ParanaÌ River (Brazil-Argentina) -- Maps; Uruguay River -- Maps,,63 x 48 cm,BA 2039 1913,am022710,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8800,8800,8748.jp2,/agdm/image/8748.jp2
"North Sea, Elbe River, BrunsbuÌˆttelkoog to Hamburg / published at the Admiralty 22nd Decr. 1902 ; Engraved by Davies & Company",North Sea 1911,"Nautical charts;    Bathymetric maps; Harbors -- Elbe River (Czech Republic and Germany) -- Maps; Elbe River (Czech Republic and Germany) -- Maps; BrunsbuÌˆttel (Schleswig-Holstein, Germany) -- Maps; Hamburg (Germany) -- Maps",,65 x 99 cm,BA 3262 1911,am022644,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8801,8801,8832.jp2,/agdm/image/8832.jp2
"East coast of Australia, Gabo Island to Port Jackson / published at the Admiralty 8th Nov. 1888 ; Engraved by Edwd Weller","Australia, east coast 1915",Nautical charts;    Bathymetric maps; Gabo Island (Vic.) -- Maps;  Port Jackson (N.S.W.) -- Maps,,98 x 64 cm,BA 1211 1915,am022782,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8802,8802,8751.jp2,/agdm/image/8751.jp2
"France, south coast, Rade d'Agay to San Remo / published at the Admiralty 16th Oct. 1858 ; Engraved by J. & C. Walker","France, south coast 1907",Nautical charts;    Bathymetric maps; Harbors -- Mediterranean Sea -- Maps; Rade d'Agay (France) -- Maps; San Remo (Italy) -- Maps,,49 x 62 cm,BA 2609 1907,am022680,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8803,8803,8771.jp2,/agdm/image/8771.jp2
"Ireland, south west coast, including Crook Haven / published according to Act of Parliament at the Hydrographic Office of the Admiralty May 24th 1853 ; Engraved by J. & C. Walker Sculp.","Ireland, south west coast 1888",Nautical charts;    Bathymetric maps; Crook Haven (Ireland) -- Maps,,61 x 95 cm,BA 2184 1888,am022653,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8804,8804,8822.jp2,/agdm/image/8822.jp2
"Mediterranean Sea, Italy, west coast, Gulf of Naples / published at the Admiralty 10th July 1867 ; Engraved by J. & C. Walker","Italy, west coast 1907","Nautical charts;    Bathymetric maps;  Nautical charts -- Italy -- Maps; Naples, Bay of (Italy) -- Maps",,64 x 95 cm,BA 1728 1907,am022701,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8805,8805,8763.jp2,/agdm/image/8763.jp2
"Asia Minor, the Gulf of Sandarli or Chandarli, the Ancient Cumaeus Sinus / published at the Admiralty Octr. 20th 1848 ; Engraved by J. & C. Walker Sculpt.",Turkey coast 1877,Nautical charts;    Bathymetric maps;  Nautical charts -- Turkey -- Maps; CÌ§andarlÄ± KoÌˆrfezi (Turkey) -- Maps,,48 x 62 cm,BA 1902 1877,am022715,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8806,8806,8785.jp2,/agdm/image/8785.jp2
A survey of Port Burburra on the north east coast of Africa in the Gulf of Aden / published at the Admiralty 22nd Feby. 1828 ; Engraved by J. & C. Walker Sculpt.,"Africa, north east coast 1828","Nautical charts;    Bathymetric maps;   Africa, East -- Maps",,20 x 28 cm,BA 675 1828,am022784,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8807,8807,8717.jp2,/agdm/image/8717.jp2
"Ireland, Slyne Head to Liscanor Bay / published at the Admiralty January 31st 1853 ; Engraved by J. & C. Walker","Slyne Head, Ireland 1901",Nautical charts;    Bathymetric maps; Slyne Head (Ireland) -- Maps; Liscannor Bay (Ireland) -- Maps,,47 x 63 cm,BA 2173 1901,am022725,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8808,8808,8701.jp2,/agdm/image/8701.jp2
"North coast of Spain, Bidassoa River to Cape PenÌƒas / published at the Admiralty 5th Novr. 1887 ; Engraved by Edwd. Weller","Spain, north coast 1901","Nautical charts;    Bathymetric maps; Harbors -- Biscay, Bay of (France and Spain) -- Maps; Bidasoa River (Spain and France) -- Maps; Cabo PenÌƒas (Spain) -- Maps",,64 x 98 cm,BA 2728 1901,am022656,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8809,8809,8776.jp2,/agdm/image/8776.jp2
"North Sea, Elbe River, Outer Light Vessel to BrunsbuÌˆttelkoog / published at the Admiralty 21st Novr. 1902 ; Engraved by Davies & Company",North Sea 1911,"Nautical charts;    Bathymetric maps; Harbors -- Elbe River (Czech Republic and Germany) -- Maps; North Sea -- Maps; Elbe River (Czech Republic and Germany) -- Maps; Cuxhaven (Germany) -- Maps; BrunsbuÌˆttel (Schleswig-Holstein, Germany) -- Maps",,66 x 130 cm,BA 3261 1911,am022645,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8810,8810,8740.jp2,/agdm/image/8740.jp2
"Ireland, south coast, Kinsale to Wexford / published at the Admiralty 24th Oct. 1890 ; Engraved by Edwd. Weller","Ireland, south coast 1899",Nautical charts;    Bathymetric maps;   Kinsale (Ireland) -- Maps;  Wexford (Ireland) -- Maps,,65 x 121 cm,BA 2049 1899,am022741,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8811,8811,8715.jp2,/agdm/image/8715.jp2
"Italy, west coast, Leghorn Roadstead / published at the Admiralty 30th Augt. 1883 ; Engraved by Davies & Company","Italy, west coast 1899",Nautical charts;    Bathymetric maps; Harbors -- Mediterranean Sea -- Maps; Livorno (Italy) -- Maps,,63 x 97 cm,BA 2554 1899,am022673,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8812,8812,8849.jp2,/agdm/image/8849.jp2
"Archipelago, Amorgos and Denusa Islands / published at the Admiralty June 27th 1849 ; Engraved by J. & C. Walker Sculpt.",Greece 1882,"Nautical charts;    Bathymetric maps; Amorgos Island (Greece) -- Maps; Donousa (Greece) -- Maps; KiÌnaros, NiÌsiÌs (Greece) -- Maps",,47 x 62 cm,BA 1866 1882,am022697,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8813,8813,8806.jp2,/agdm/image/8806.jp2
"Scotland, west coast, Isle of Skye, northward of Loch Ainneart & Sleat Sound, with adjacent sounds & lochs to the eastward / published at the Admiralty 8th May 1878 ; Engraved by Davies & Company","Scotland, west coast 1893","Nautical charts;    Bathymetric maps;  Skye, Island of (Scotland) -- Maps; Inner Sound (Scotland) -- Maps",,64 x 99 cm,BA 2551 1893,am022679,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8814,8814,8702.jp2,/agdm/image/8702.jp2
"Mediterranean, Greece, east coast, Gulf of Volo with Oreos and Talanta Channels / published at the Admiralty 8th May 1890 ; Engraved by Davies & Company","Greece, east coast 1898","Nautical charts;    Bathymetric maps;   Volos, Gulf of (Greece) -- Maps;  Oreos Channel (Greece) -- Maps;  Atalante Channel (Greece) -- Maps",,91 x 83 cm,BA 1556 1898,am022761,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8815,8815,8769.jp2,/agdm/image/8769.jp2
"Scotland, west coast, sound and north west coast of Mull with Loch Sunart / published at the Admiralty 20th Oct. 1852 ; Engraved by J. & C. Walker","Scotland, west coast 1896","Nautical charts;    Bathymetric maps; Scotland -- Maps; Mull, Sound of (Scotland) -- Maps; Sunart, Loch (Scotland) -- Maps",,69 x 99 cm,BA 2155 1896,am022726,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8816,8816,8824.jp2,/agdm/image/8824.jp2
"Asia Minor, the Strait of Samos, or Samos-Boghaz / published at the Admiralty Jany. 1st 1844 ; Engraved by J. & C. Walker Sculpt.","Samos, Greece 1880",Nautical charts;    Bathymetric maps,,49 x 61 cm,BA 1530 1880,am022770,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8817,8817,8744.jp2,/agdm/image/8744.jp2
"Ireland, south coast, Cork Harbour and approaches / published at the Admiralty 23rd Jany. 1891 ; Engraved by Davies & Company","Ireland, south coast 1898",Nautical charts;    Bathymetric maps; Nautical charts -- Ireland -- Maps; Cork Harbour (Ireland) -- Maps,,99 x 65 cm,BA 1765 1898,am022635,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8818,8818,8856.jp2,/agdm/image/8856.jp2
"Ireland, Tralee Bay to Liscanor Bay, including River Shannon / published at the Admiralty 8th Jany. 1856 ; Engraved by J. & C. Walker Sculpt.","Tralee Bay, Ireland 1900",Nautical charts;   Bathymetric maps;  Tralee (Ireland) -- Maps; Shannon River (Ireland) -- Maps,,49 x 66 cm,BA 2254 1900,am022738,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8819,8819,8783.jp2,/agdm/image/8783.jp2
Ports in the Gulf of Smyrna / published at the Admiralty Sept. 3rd 1844 ; Engraved by J. & C. Walker Sculpt.,"Gulf of Izmir, Turkey 1881","Nautical charts;    Bathymetric maps;   Izmir, Gulf of (Turkey) -- Maps",,2 maps on 1 sheet : colored ; 48 x 61 cm,BA 1521 1881,am022768,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8821,8821,8765.jp2,/agdm/image/8765.jp2
"Asia Minor, south coast, from Karaghatch to Makri / published at the Admiralty Augt. 12th 1848 ; Engraved by J. & C. Walker Sculpt.",Turkey 1872,Nautical charts;    Bathymetric maps; Harbors -- Mediterranean Sea -- Maps; KaraagÌ†acÌ§ Koyu (Turkey) -- Maps,,48 x 61 cm,BA 1886 1872,am022691,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8822,8822,8756.jp2,/agdm/image/8756.jp2
"Ireland, s.w. coast, Valentia Harbour / published at the Admiralty Feby. 21st 1851 ; Engraved by J. & C. Walker","Ireland, south west coast 1891",Nautical charts;    Bathymetric maps,,7 x 61 cm,BA 2030 1891,am022742,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8823,8823,8844.jp2,/agdm/image/8844.jp2
"Mediterranean, Gulfs of Lyons and Genoa / published at the Admiralty 27th Novr. 1893 ; Engraved by Davies & Company",France and Italy 1911,"Nautical charts;    Bathymetric maps; Harbors -- Mediterranean Sea -- Maps; Nautical charts -- France -- Maps; Nautical charts -- Italy -- Maps; Lions, Gulf of (France) -- Maps; Golfo di Genova (Italy) -- Maps",,65 x 111 cm,BA 1780 1911,,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8824,8824,8752.jp2,/agdm/image/8752.jp2
"Baltic, Sweden south coast, Karlskrona Harbour / published at the Admiralty 28th Sept. 1880 ; engraved by Davies & Company","Sweden, south coast 1906",Nautical charts;    Bathymetric maps; Harbors -- Sweden -- Karlskrona -- Maps;  Karlskrona kommun (Sweden) -- Maps,,64 x 49 cm,BA 2223 1906,am022760,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8825,8825,8753.jp2,/agdm/image/8753.jp2
Southern portion of the Orkney Islands / published at the Admiralty March 31st 1886 ; Engraved by Davies & Company,"Orkney, Scotland 1898",Nautical charts;    Bathymetric maps; Orkney (Scotland) -- Maps,,63 x 91 cm,BA 2180B 1898,am022651,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8826,8826,8831.jp2,/agdm/image/8831.jp2
"Archipelago, Furni Islands, with the ancient parts of Samos and Nikaria / published at the Admiralty Jany. 1st 1844 ; Engraved by J. & C. Walker Sculpt.","Phournoi Island, Greece 1882",Nautical charts;    Bathymetric maps ; Phournoi Island (Greece) -- Maps,,48 x 63 cm,BA 1537 1882,am022771,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8827,8827,8723.jp2,/agdm/image/8723.jp2
"Syria, BeiruÌt, the ancient Berytus / published at the Admiralty 4th Decr. 1860 ; Engraved by J. & C. Walker",Syria and Beirut 1903,Nautical charts;    Bathymetric maps; Harbors -- Mediterranean Sea -- Maps;  Beirut (Lebanon) -- Maps,,63 x 97 cm,BA 1563 1903,am022762,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8828,8828,8759.jp2,/agdm/image/8759.jp2
"Mediterranean, Turkey in Asia, Mersina Roadstead / published at the Admiralty 23rd Jany. 1897 ; Engraved by Edwd. Weller",Turkey 1900,"Nautical charts;    Bathymetric maps; Harbors -- Mediterranean Sea -- Maps; Mersin (Mersin IÌ‡li, Turkey) -- Maps",,46 x 63 cm,BA 2668 1900,am022670,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8829,8829,8847.jp2,/agdm/image/8847.jp2
